Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Auspak Automotive,null,null,,null,null,,null,null
Specialised Automotive,53.293371,-6.430961,,null,null,,53.293371,-6.430961
Eagles Automotive Centre,null,null,,null,null,,null,null
Carrera Automotive Repairs,51.474678,5.622127,,null,null,,51.474678,5.622127
Autotech Automotive Protection,23.058735,-82.402787,,null,null,,23.058735,-82.402787
European Automotive Repairs,null,null,,null,null,,null,null
Specialised Automotive Electronics,44.668863,10.599451,,null,null,,44.668863,10.599451
Geoff's Automotive Service Centre,null,null,,null,null,,null,null
Tez Automotive,19.812271,-97.361036,,null,null,,19.812271,-97.361036
Jepson Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Lachlan Cook Automotive,-32.775521,147.070289,,null,null,,-32.775521,147.070289
Don Houghton Automotive,47.236727,39.702793,,null,null,,47.236727,39.702793
1st Call Automotive,null,null,,null,null,,null,null
Fairfield Central Automotive,null,null,,null,null,,null,null
Botany Bay Automotive,-33.939724,151.203852,,null,null,,-33.939724,151.203852
Hall's Gully Automotive,-33.486786,150.830748,,null,null,,-33.486786,150.830748
South Eastern Automotive,-12.819233,-50.657067,,null,null,,-12.819233,-50.657067
Mark II Automotive,null,null,,null,null,,null,null
Straight Steer Automotive,48.942803,9.136616,,null,null,,48.942803,9.136616
Five dock automotive pty ltd,null,null,,null,null,,null,null
AMR Automotive Group,32.807809,-97.204778,,-33.84907,151.13834,,-33.84907,151.13834
Sinclair Automotive - Australia,-33.865202,121.872683,,null,null,,-33.865202,121.872683
IMPARTS AUTOMOTIVE PTY. LTD.,-33.779957,151.277308,,null,null,,-33.779957,151.277308
ZERO Automotive,43.98613,-92.230336,,-34.897945,138.59166,,-34.897945,138.59166
Australian Automotive Group,32.807809,-97.204778,,null,null,,32.807809,-97.204778
Remus Exhaust - REMUS Automotive,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Pit Lane Automotive and Performance,null,null,,null,null,,null,null
Torque Automotive,42.034676,-4.321418,,null,null,,42.034676,-4.321418
Neale Goad Automotive,-24.291315,129.967965,,-37.53209,143.82254,,-37.53209,143.82254
Xtime,null,null,,null,null,,null,null
Steve Johnson Automotive,-25.83694,29.55194,,null,null,,-25.83694,29.55194
Kiwi French Automotive,46.977895,7.472803,,null,null,,46.977895,7.472803
Dee Why Automotive,-33.752429,151.286621,,null,null,,-33.752429,151.286621
Gary Tenni Automotive,41.589885,-87.346786,,null,null,,41.589885,-87.346786
Eddy Nash Automotive,32.482393,-104.304374,,null,null,,32.482393,-104.304374
Peter Ragonese Automotive,null,null,,null,null,,null,null
21st Century Automotive Engineering,null,null,,null,null,,null,null
L. C. Automotive,51.474678,5.622127,,null,null,,51.474678,5.622127
Peter Murphy Automotive Repairs,16.776738,-62.196701,,null,null,,16.776738,-62.196701
Kiama Central Automotive,-34.671698,150.849093,,null,null,,-34.671698,150.849093
Pro-R Automotive,51.474678,5.622127,,null,null,,51.474678,5.622127
Sewells MSXI,43.806422,-79.21834,,null,null,,43.806422,-79.21834
K & G Automotive Car Servicing & Repairs,51.394513,0.490951,,null,null,,51.394513,0.490951
Midac Batteries SpA,55.936778,-4.564952,,null,null,,55.936778,-4.564952
Ashdown-Ingram,null,null,,null,null,,null,null
Honda Australia Motor Vehicles,22.90361,-83.15917,,null,null,,22.90361,-83.15917
West Coast Automotive Supplies,13.23333,-16.35,,-31.939821,115.8162,,-31.939821,115.8162
Lexus Australia,null,null,,null,null,,null,null
CKD Automotive Pty Ltd,-33.779957,151.277308,,null,null,,-33.779957,151.277308
Adrian Brien Automotive - Forestville Service Centre,40.229863,-75.519641,,-34.897945,138.59166,,-34.897945,138.59166
Hicks Automotive & Exhaust Centre,38.147792,-85.691313,,null,null,,38.147792,-85.691313
Kilmartin Automotive Sheetmetal,56.135582,-5.484705,,null,null,,56.135582,-5.484705
Saab Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Comet Automotive Service Centre,36.177378,43.940556,,null,null,,36.177378,43.940556
Medina Automotive Service,36.177378,43.940556,,null,null,,36.177378,43.940556
Sabbadin Automotive,45.481934,12.292182,,null,null,,45.481934,12.292182
Precision Automotive Racing,null,null,,null,null,,null,null
Camex Automotive,40.376878,49.853801,,null,null,,40.376878,49.853801
LPD Automotive,null,null,,null,null,,null,null
Echelon Automotive,39.847855,-74.995294,,null,null,,39.847855,-74.995294
Grange Automotive,null,null,,null,null,,null,null
Powerstroke Automotive,49.184916,-97.917322,,null,null,,49.184916,-97.917322
Grady's Automotive,-28.43141,152.9558,,null,null,,-28.43141,152.9558
SN Automotive,6.251044,36.581461,,null,null,,6.251044,36.581461
Marrickville Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Albion Automotive Repairs,42.24775,-84.757263,,null,null,,42.24775,-84.757263
Primus Automotive,50.498393,19.193421,,null,null,,50.498393,19.193421
Memmott's Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Colourfast Automotive,43.98613,-92.230336,,-25.574999,134.3547,,-25.574999,134.3547
Sanders Automotive,30.406006,-87.230798,,null,null,,30.406006,-87.230798
Promata Automotive,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Supershops Automotive Systems (SAS),-19.952851,-44.095708,,null,null,,-19.952851,-44.095708
Darrington Automotive Consultants Pte. Ltd.,null,null,,-27.994457,153.40938,,-27.994457,153.40938
ZERO Automotive Pty Ltd,-33.779957,151.277308,,-34.897945,138.59166,,-34.897945,138.59166
Karvel Automotive,54.907418,23.788175,,null,null,,54.907418,23.788175
Q Automotive Group,32.807809,-97.204778,,null,null,,32.807809,-97.204778
MSX International,-2.946164,12.699002,,null,null,,-2.946164,12.699002
LDV Automotive Australia,null,null,,null,null,,null,null
TD Automotive,50.391409,-105.534357,,-25.574999,134.3547,,-25.574999,134.3547
Careers at Cox Automotive Media Solutions,50.795969,-1.093789,,-33.84907,151.13834,,-33.84907,151.13834
Tayell Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Nerang Automotive Centre,null,null,,null,null,,null,null
Keystone Automotive Services,null,null,,null,null,,null,null
Lismore Automotive Service,36.177378,43.940556,,null,null,,36.177378,43.940556
S & A Automotive,null,null,,null,null,,null,null
Ricol Automotive,null,null,,null,null,,null,null
Huskisson Automotive,-35.042232,150.67136,,null,null,,-35.042232,150.67136
Krause Automotive Fabrications,-33.29219,151.419591,,null,null,,-33.29219,151.419591
Appleyard Automotive,53.808435,-1.755063,,null,null,,53.808435,-1.755063
SER Automotive,36.177378,43.940556,,null,null,,36.177378,43.940556
Blits Automotive Design,null,null,,null,null,,null,null
Spectra Automotive Paints,-32.045572,115.75565,,null,null,,-32.045572,115.75565
Supergas Automotive,-22.748854,-43.494189,,null,null,,-22.748854,-43.494189
Britek Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Ollington Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
LRH Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Spinners Automotive,-28.076867,153.443511,,null,null,,-28.076867,153.443511
STERLING AUTOMOTIVE EQUIPMENT,42.576979,-83.033617,,null,null,,42.576979,-83.033617
Lanza Automotive,45.471828,9.182256,,null,null,,45.471828,9.182256
Hycraft Automotive,null,null,,null,null,,null,null
Paul Whyte Automotive,15.359526,-61.369031,,null,null,,15.359526,-61.369031
Dick Ralston Automotive,null,null,,null,null,,null,null
MacArthur Grange Automotive Services,29.529026,-98.441716,,null,null,,29.529026,-98.441716
Doctor Martin Automotive Repairs,null,null,,null,null,,null,null
North Road Automotive,null,null,,null,null,,null,null
Officer Smith Automotive Pty Ltd,null,null,,null,null,,null,null
D.A. Automotive Repairs,-30.51406,151.662388,,null,null,,-30.51406,151.662388
Bob Sell Automotive Repairs,null,null,,null,null,,null,null
Fountain Gate Automotive,-38.0263,145.3069,,null,null,,-38.0263,145.3069
St Leonards Automotive & Marine,42.704476,-76.420904,,null,null,,42.704476,-76.420904
Auto Parts Group,18.486088,-69.876,,null,null,,18.486088,-69.876
Auto Innovation Centre,null,null,,null,null,,null,null
Silver Star Motors,null,null,,null,null,,null,null
Exhaust Notes Australia,null,null,,null,null,,null,null
Mercedes-Benz Waverley,44.477172,26.058145,,null,null,,44.477172,26.058145
Carly Car Subscription,51.744933,-2.217144,,null,null,,51.744933,-2.217144
Future Auto Service Centres Yeronga/Rocklea (C.A.R.S. Complete Automotive Repairs & Services),7.232453,-8.985577,,-27.47126,153.01831,,-27.47126,153.01831
Sheen Panel Service,-25.719373,28.15336,,null,null,,-25.719373,28.15336
Mount Gravatt Mazda,-27.537286,153.076779,,null,null,,-27.537286,153.076779
Smith Motor Group,35.372017,-94.386,,-34.897945,138.59166,,-34.897945,138.59166
Wayne Phillis Automotive,39.772026,-86.261729,,null,null,,39.772026,-86.261729
ATR Automotive,49.622641,6.055723,,null,null,,49.622641,6.055723
RMIT Mechanical & Automotive Engineering Association (MAEA),10.640576,-61.301171,,null,null,,10.640576,-61.301171
Rosenthal Automotive Australia,-28.24013,152.01327,,-34.20717,140.74048,,-34.20717,140.74048
EGR Automotive,45.231942,5.677923,,null,null,,45.231942,5.677923
Summit Automotive Pty Ltd,null,null,,null,null,,null,null
Janrule Automotive Group Canberra,null,null,,null,null,,null,null
Fleet 1st Automotive Buying Specialists Pty Ltd,51.530637,-0.11884,,-31.939821,115.8162,,-31.939821,115.8162
Eagers Automotive Fleet,-27.446535,153.04388,,null,null,,-27.446535,153.04388
FLB Automotive Recruitment Pty Ltd,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Parts4 Automotive,12.139491,-68.951334,,-38.193844,144.46815,,-38.193844,144.46815
Rapid Tune Automotive Services,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Patico Automotive,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Macarthur Automotive,40.459366,-74.381774,,null,null,,40.459366,-74.381774
KLARMANN - Automotive Solutions,35.851818,-84.241518,,-31.939821,115.8162,,-31.939821,115.8162
Pearson Automotive Milton,31.297703,-82.854083,,null,null,,31.297703,-82.854083
Adrian Brien Automotive,41.89791,-84.037938,,null,null,,41.89791,-84.037938
Cessnock Automotive Group,-32.83164,151.351392,,null,null,,-32.83164,151.351392
Allpoint Automotive,29.477449,-81.218533,,-37.803425,145.01105,,-37.803425,145.01105
Australian Automotive Intelligence,-35.292291,149.143962,,-37.803425,145.01105,,-37.803425,145.01105
True Blue Automotive PTY Ltd.,35.246709,-106.207246,,null,null,,35.246709,-106.207246
Eastern Valley Automotive,-35.245776,149.074835,,null,null,,-35.245776,149.074835
Hyper Coatings & Automotive,45.401623,-75.665346,,null,null,,45.401623,-75.665346
Bourke Road Automotive,null,null,,null,null,,null,null
Stuart's Arrow Automotive,-27.56871,151.950101,,null,null,,-27.56871,151.950101
Narre Warren Automotive,-38.012325,145.301574,,null,null,,-38.012325,145.301574
David Clark Automotive,8.42729,-82.43085,,null,null,,8.42729,-82.43085
Mark McCarthy Automotive,12.193792,-61.679851,,null,null,,12.193792,-61.679851
Hunter Street Automotive,51.995937,-0.99217,,null,null,,51.995937,-0.99217
Sure Stop Automotive Centre,null,null,,null,null,,null,null
Brown & Watson International Pty Ltd,53.257337,-1.427706,,null,null,,53.257337,-1.427706
Century Yuasa Batteries,44.03425,-121.338194,,null,null,,44.03425,-121.338194
Billy's Automotive Services,null,null,,null,null,,null,null
PFI Bearings,35.468147,-97.545931,,null,null,,35.468147,-97.545931
Mini Automotive,null,null,,null,null,,null,null
Mobile Automotive Detailing,null,null,,null,null,,null,null
Indian Automotive,22.20775,76.97021,,null,null,,22.20775,76.97021
Link Automotive,43.271714,-80.653255,,null,null,,43.271714,-80.653255
Karratha Automotive Group,null,null,,null,null,,null,null
JTS Automotive Repairs,-38.022981,144.415607,,null,null,,-38.022981,144.415607
Automotive Automation,48.722446,9.307491,,-37.803425,145.01105,,-37.803425,145.01105
Automotive Stars,37.565061,-77.468326,,-33.84907,151.13834,,-33.84907,151.13834
Automotive Brokering,null,null,,null,null,,null,null
Automotive Capital Investments,48.4462,-123.375341,,-37.803425,145.01105,,-37.803425,145.01105
AUTOMOTIVE SUPACENTRE,-27.315115,152.967447,,null,null,,-27.315115,152.967447
Automotive Therapy,41.166779,-111.969725,,-34.897945,138.59166,,-34.897945,138.59166
The Automotive Specialist,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Zagame Automotive Group,32.807809,-97.204778,,null,null,,32.807809,-97.204778
Burson Automotive Pty Ltd,-33.779957,151.277308,,null,null,,-33.779957,151.277308
Filpro Automotive,48.151514,7.170449,,null,null,,48.151514,7.170449
CoolDrive Auto Parts,52.336845,14.069062,,null,null,,52.336845,14.069062
Buchanan Automotive,null,null,,null,null,,null,null
Mechanical & Automotive Service Centres,10.640576,-61.301171,,null,null,,10.640576,-61.301171
Autosports Group Limited,-37.823064,144.966873,,null,null,,-37.823064,144.966873
Boost Automotive,54.011634,10.023251,,null,null,,54.011634,10.023251
AAA Automotive,42.978938,-71.472862,,null,null,,42.978938,-71.472862
YAPP AUSTRALIA AUTOMOTIVE SYSTEMS PTY LTD,39.35789,-76.043558,,null,null,,39.35789,-76.043558
Rockstar Automotive,53.671409,23.819044,,null,null,,53.671409,23.819044
GMG Automotive,null,null,,null,null,,null,null
Local Automotive,-25.43586,27.73938,,null,null,,-25.43586,27.73938
Copyright One Call Automotive,null,null,,null,null,,null,null
His N Hers Automotive Solutions,43.06581,0.96824,,null,null,,43.06581,0.96824
SAIC Motor Australia and New Zealand,null,null,,null,null,,null,null
Northpoint Toyota,43.061669,-87.87941,,null,null,,43.061669,-87.87941
Carly Holdings Limited (ASX:CL8),null,null,,null,null,,null,null
D & C Auto Glass,null,null,,null,null,,null,null
Daimler Trucks Laverton,-27.550436,151.908542,,null,null,,-27.550436,151.908542
hsy autoparts,60.206941,24.921648,,null,null,,60.206941,24.921648
Tempe Tyres,33.403229,-111.923357,,null,null,,33.403229,-111.923357
MAHA Australia / New Zealand Pty Ltd,null,null,,null,null,,null,null
Italian Automotive Spares,-37.769825,144.98114,,null,null,,-37.769825,144.98114
GoAutoMedia,null,null,,null,null,,null,null
Platinum Automotive Sales,-25.514686,27.128727,,null,null,,-25.514686,27.128727
BRM Automotive,null,null,,null,null,,null,null
Ashfield Automotive,-33.888031,151.124724,,null,null,,-33.888031,151.124724
ULTRACARE AUTOMOTIVE KEMPSEY,10.718758,122.561073,,null,null,,10.718758,122.561073
Toyospec Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Cassar Automotive,37.105721,14.946305,,null,null,,37.105721,14.946305
On Call Automotive,51.474678,5.622127,,null,null,,51.474678,5.622127
Louca Automotive,49.6019,17.08266,,null,null,,49.6019,17.08266
Automotive Panel Surgeons,null,null,,null,null,,null,null
Automotive Technologies of Australia,48.244139,14.641804,,null,null,,48.244139,14.641804
Whitworth's Automotive Polishing,null,null,,null,null,,null,null
Australian Automotive Research Centre (AARC),-38.35055,144.090856,,null,null,,-38.35055,144.090856
Permagard Automotive Australia,-35.029742,138.538507,,null,null,,-35.029742,138.538507
Fusion Automotive Pty Ltd,-33.779957,151.277308,,-37.803425,145.01105,,-37.803425,145.01105
Wakeling Automotive,-37.533396,143.84184,,null,null,,-37.533396,143.84184
Career Driven - now part of Bayside Group Automotive,null,null,,-33.84907,151.13834,,-33.84907,151.13834
McCarroll’s Automotive Group,32.807809,-97.204778,,null,null,,32.807809,-97.204778
DEM Automotive,35.164286,33.331059,,null,null,,35.164286,33.331059
GWA Automotive,35.146937,126.873489,,null,null,,35.146937,126.873489
Gejay Automotive,-7.768491,110.390946,,null,null,,-7.768491,110.390946
Johnston Automotive,35.513217,-78.365643,,null,null,,35.513217,-78.365643
Razz Automotive,-37.886541,145.15843,,null,null,,-37.886541,145.15843
Bird Automotive Bike,51.391135,-0.503955,,null,null,,51.391135,-0.503955
Dontex Automotive Services,null,null,,null,null,,null,null
DV Automotive,54.60101,-5.694689,,null,null,,54.60101,-5.694689
Shields Automotive,42.279367,-87.857563,,null,null,,42.279367,-87.857563
AutoNexus Pty Ltd,-38.094211,144.368721,,null,null,,-38.094211,144.368721
Prestige Automotive Solutions,35.851818,-84.241518,,null,null,,35.851818,-84.241518
Mainline Automotive Equipment Pty Ltd,null,null,,null,null,,null,null
Virginia Automotive,null,null,,null,null,,null,null
Nowra Automotive,-34.884583,150.60242,,null,null,,-34.884583,150.60242
Schultz Automotive Electrical Service,null,null,,null,null,,null,null
Clickable Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Gippsland Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Gibbsy's Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Prestige Automotive Yarra Valley,null,null,,null,null,,null,null
OC Automotive,33.580582,-101.842394,,null,null,,33.580582,-101.842394
Global Automotive Transmission Services PTY LTD,null,null,,null,null,,null,null
Ross Automotive,41.471012,-87.310566,,null,null,,41.471012,-87.310566
Blingwork Automotive Lighting,52.073096,-1.934907,,null,null,,52.073096,-1.934907
AV Automotive,51.474678,5.622127,,null,null,,51.474678,5.622127
Maracoonda Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Pacific Automotive Services Pty Ltd,36.177378,43.940556,,-33.84907,151.13834,,-33.84907,151.13834
Star Automotive,31.030974,-98.326329,,null,null,,31.030974,-98.326329
AJ Automotive,41.323622,-75.306034,,null,null,,41.323622,-75.306034
Wells Automotive,null,null,,null,null,,null,null
James Frizelle Automotive Group,18.390938,-77.846498,,null,null,,18.390938,-77.846498
AMA Group - Panel Division,null,null,,null,null,,null,null
Global Automotive Accessories,10.273615,-61.460615,,null,null,,10.273615,-61.460615
Lakeside Automotive PTY LTD,30.136823,-81.770831,,null,null,,30.136823,-81.770831
Able Automotive Repairs,-38.022981,144.415607,,null,null,,-38.022981,144.415607
AOK Automotive Repairs,-38.022981,144.415607,,null,null,,-38.022981,144.415607
GUD Automotive,11.747868,79.745218,,null,null,,11.747868,79.745218
Petlum Automotive,43.98613,-92.230336,,null,null,,43.98613,-92.230336
Edge Automotive,40.928132,-74.040201,,null,null,,40.928132,-74.040201
Crawford Automotive,41.668168,-80.106294,,null,null,,41.668168,-80.106294
Smithfield Automotive,41.92204,-71.54951,,null,null,,41.92204,-71.54951
VIP Automotive Solutions,35.851818,-84.241518,,null,null,,35.851818,-84.241518
Park Automotive Pty Ltd,29.59335,-98.47375,,-31.939821,115.8162,,-31.939821,115.8162
Running Gear Automotive,35.914462,-80.250883,,null,null,,35.914462,-80.250883
Henderson Automotive,null,null,,-31.939821,115.8162,,-31.939821,115.8162
TGM Automotive,46.466781,24.416243,,null,null,,46.466781,24.416243
SD Automotive,-39.649173,176.673895,,-27.47126,153.01831,,-27.47126,153.01831
Spoil It - Custom Automotive,45.861875,-77.632185,,-37.803425,145.01105,,-37.803425,145.01105
GDL Automotive Services Pty Ltd,36.177378,43.940556,,-33.84907,151.13834,,-33.84907,151.13834
